[2023-12-28 13:39:10,747] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:39:10,748] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:39:10,750] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:39:10,751] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:39:56,057] INFO:frontend-service:55:no data update
[2023-12-28 13:39:56,058] INFO:frontend-service:56:query loop complete
[2023-12-28 13:40:01,332] INFO:frontend-service:112:creating connection engine
[2023-12-28 13:40:01,376] INFO:frontend-service:116:creating model tables
[2023-12-28 13:40:02,256] INFO:frontend-service:120:defining and returning session object
[2023-12-28 13:40:02,258] INFO:frontend-service:20:prediction-service session created
[2023-12-28 13:40:02,270] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:40:02,272] INFO:frontend-service:99:creating model tables
[2023-12-28 13:40:03,294] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:40:03,295] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:40:03,297] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:40:03,299] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:40:03,300] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:40:56,061] INFO:frontend-service:55:no data update
[2023-12-28 13:40:56,062] INFO:frontend-service:56:query loop complete
[2023-12-28 13:41:56,064] INFO:frontend-service:55:no data update
[2023-12-28 13:41:56,067] INFO:frontend-service:56:query loop complete
[2023-12-28 13:42:56,068] INFO:frontend-service:55:no data update
[2023-12-28 13:42:56,069] INFO:frontend-service:56:query loop complete
[2023-12-28 13:43:15,502] INFO:frontend-service:112:creating connection engine
[2023-12-28 13:43:15,548] INFO:frontend-service:116:creating model tables
[2023-12-28 13:43:16,434] INFO:frontend-service:120:defining and returning session object
[2023-12-28 13:43:16,435] INFO:frontend-service:20:prediction-service session created
[2023-12-28 13:43:16,450] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:43:16,451] INFO:frontend-service:99:creating model tables
[2023-12-28 13:43:17,440] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:43:17,440] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:43:17,440] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:43:17,441] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:43:17,441] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:43:56,071] INFO:frontend-service:55:no data update
[2023-12-28 13:43:56,071] INFO:frontend-service:56:query loop complete
[2023-12-28 13:44:56,072] INFO:frontend-service:55:no data update
[2023-12-28 13:44:56,074] INFO:frontend-service:56:query loop complete
[2023-12-28 13:45:56,078] INFO:frontend-service:55:no data update
[2023-12-28 13:45:56,091] INFO:frontend-service:56:query loop complete
[2023-12-28 13:46:56,098] INFO:frontend-service:55:no data update
[2023-12-28 13:46:56,100] INFO:frontend-service:56:query loop complete
[2023-12-28 13:47:56,102] INFO:frontend-service:55:no data update
[2023-12-28 13:47:56,108] INFO:frontend-service:56:query loop complete
[2023-12-28 13:48:56,111] INFO:frontend-service:55:no data update
[2023-12-28 13:48:56,113] INFO:frontend-service:56:query loop complete
[2023-12-28 13:49:56,114] INFO:frontend-service:55:no data update
[2023-12-28 13:49:56,114] INFO:frontend-service:56:query loop complete
[2023-12-28 13:50:56,116] INFO:frontend-service:55:no data update
[2023-12-28 13:50:56,117] INFO:frontend-service:56:query loop complete
[2023-12-28 13:51:56,118] INFO:frontend-service:55:no data update
[2023-12-28 13:51:56,119] INFO:frontend-service:56:query loop complete
[2023-12-28 13:52:56,123] INFO:frontend-service:55:no data update
[2023-12-28 13:52:56,132] INFO:frontend-service:56:query loop complete
[2023-12-28 13:53:56,137] INFO:frontend-service:55:no data update
[2023-12-28 13:53:56,137] INFO:frontend-service:56:query loop complete
[2023-12-28 13:54:56,139] INFO:frontend-service:55:no data update
[2023-12-28 13:54:56,140] INFO:frontend-service:56:query loop complete
[2023-12-28 13:55:56,141] INFO:frontend-service:55:no data update
[2023-12-28 13:55:56,143] INFO:frontend-service:56:query loop complete
[2023-12-28 13:56:56,145] INFO:frontend-service:55:no data update
[2023-12-28 13:56:56,149] INFO:frontend-service:56:query loop complete
[2023-12-28 13:57:56,152] INFO:frontend-service:55:no data update
[2023-12-28 13:57:56,153] INFO:frontend-service:56:query loop complete
[2023-12-28 13:58:56,157] INFO:frontend-service:55:no data update
[2023-12-28 13:58:56,159] INFO:frontend-service:56:query loop complete
[2023-12-28 13:59:56,163] INFO:frontend-service:55:no data update
[2023-12-28 13:59:56,167] INFO:frontend-service:56:query loop complete
[2023-12-28 14:01:05,885] INFO:frontend-service:51:hour dataframe updated and saved: 2023-12-28 19:00:00
[2023-12-28 14:02:05,887] INFO:frontend-service:55:no data update
[2023-12-28 14:02:05,888] INFO:frontend-service:56:query loop complete
[2023-12-28 14:03:05,889] INFO:frontend-service:55:no data update
[2023-12-28 14:03:05,889] INFO:frontend-service:56:query loop complete
[2023-12-28 14:04:05,891] INFO:frontend-service:55:no data update
[2023-12-28 14:04:05,892] INFO:frontend-service:56:query loop complete
[2023-12-28 14:05:05,894] INFO:frontend-service:55:no data update
[2023-12-28 14:05:05,895] INFO:frontend-service:56:query loop complete
[2023-12-28 14:06:05,920] INFO:frontend-service:55:no data update
[2023-12-28 14:06:05,930] INFO:frontend-service:56:query loop complete
[2023-12-28 14:07:05,942] INFO:frontend-service:55:no data update
[2023-12-28 14:07:05,943] INFO:frontend-service:56:query loop complete
[2023-12-28 14:08:05,946] INFO:frontend-service:55:no data update
[2023-12-28 14:08:05,951] INFO:frontend-service:56:query loop complete
[2023-12-28 14:09:05,956] INFO:frontend-service:55:no data update
[2023-12-28 14:09:05,957] INFO:frontend-service:56:query loop complete
[2023-12-28 14:10:05,958] INFO:frontend-service:55:no data update
[2023-12-28 14:10:05,960] INFO:frontend-service:56:query loop complete
[2023-12-28 14:11:05,962] INFO:frontend-service:55:no data update
[2023-12-28 14:11:05,963] INFO:frontend-service:56:query loop complete
[2023-12-28 14:11:37,718] INFO:frontend-service:112:creating connection engine
[2023-12-28 14:11:37,765] INFO:frontend-service:116:creating model tables
[2023-12-28 14:11:38,657] INFO:frontend-service:120:defining and returning session object
[2023-12-28 14:11:38,657] INFO:frontend-service:20:prediction-service session created
[2023-12-28 14:11:38,673] INFO:frontend-service:95:creating connection engine
[2023-12-28 14:11:38,674] INFO:frontend-service:99:creating model tables
[2023-12-28 14:11:39,683] INFO:frontend-service:103:defining and returning session object
[2023-12-28 14:11:39,684] INFO:frontend-service:26:feature-service session created
[2023-12-28 14:11:39,684] INFO:frontend-service:127:creating connection engine
[2023-12-28 14:11:39,685] INFO:frontend-service:131:defining and returning session object
[2023-12-28 14:11:39,685] INFO:frontend-service:32:mlflow session created
[2023-12-28 14:12:05,965] INFO:frontend-service:55:no data update
[2023-12-28 14:12:05,966] INFO:frontend-service:56:query loop complete
[2023-12-28 14:13:05,969] INFO:frontend-service:55:no data update
[2023-12-28 14:13:05,970] INFO:frontend-service:56:query loop complete
[2023-12-28 15:26:52,392] INFO:frontend-service:95:creating connection engine
[2023-12-28 15:26:52,518] INFO:frontend-service:99:creating model tables
[2023-12-28 15:26:53,235] INFO:frontend-service:26:entering save_down function
[2023-12-28 15:26:53,556] INFO:frontend-service:29:entering websocket connection loop
[2023-12-28 15:26:53,557] INFO:frontend-service:34:websocket connected successfully
[2023-12-28 15:26:53,563] INFO:frontend-service:103:defining and returning session object
[2023-12-28 15:26:53,565] INFO:frontend-service:30:feature-service session created
[2023-12-28 15:26:53,566] INFO:frontend-service:32:getting latest database datetime record
[2023-12-28 15:26:53,598] INFO:frontend-service:47:websocket authenticated successfully
[2023-12-28 15:26:53,599] INFO:frontend-service:51:websocket streaming
[2023-12-28 15:26:53,672] INFO:frontend-service:36:initial hour datetime ID: 2023-12-28 20:00:00
[2023-12-28 15:27:03,540] INFO:frontend-service:112:creating connection engine
[2023-12-28 15:27:03,594] INFO:frontend-service:116:creating model tables
[2023-12-28 15:27:04,780] INFO:frontend-service:120:defining and returning session object
[2023-12-28 15:27:04,781] INFO:frontend-service:20:prediction-service session created
[2023-12-28 15:27:04,792] INFO:frontend-service:95:creating connection engine
[2023-12-28 15:27:04,793] INFO:frontend-service:99:creating model tables
[2023-12-28 15:27:05,693] INFO:frontend-service:40:initial hour dataframe update and saved: 2023-12-28 20:00:00
[2023-12-28 15:27:05,694] INFO:frontend-service:55:no data update
[2023-12-28 15:27:05,694] INFO:frontend-service:56:query loop complete
[2023-12-28 15:27:05,794] INFO:frontend-service:103:defining and returning session object
[2023-12-28 15:27:05,795] INFO:frontend-service:26:feature-service session created
[2023-12-28 15:27:05,795] INFO:frontend-service:127:creating connection engine
[2023-12-28 15:27:05,795] INFO:frontend-service:131:defining and returning session object
[2023-12-28 15:27:05,796] INFO:frontend-service:32:mlflow session created
[2023-12-28 15:28:05,696] INFO:frontend-service:55:no data update
[2023-12-28 15:28:05,696] INFO:frontend-service:56:query loop complete
[2023-12-28 15:29:05,697] INFO:frontend-service:55:no data update
[2023-12-28 15:29:05,698] INFO:frontend-service:56:query loop complete
[2023-12-28 15:30:05,700] INFO:frontend-service:55:no data update
[2023-12-28 15:30:05,701] INFO:frontend-service:56:query loop complete
[2023-12-28 15:31:05,704] INFO:frontend-service:55:no data update
[2023-12-28 15:31:05,704] INFO:frontend-service:56:query loop complete
[2023-12-28 15:32:05,705] INFO:frontend-service:55:no data update
[2023-12-28 15:32:05,705] INFO:frontend-service:56:query loop complete
[2023-12-28 15:33:05,707] INFO:frontend-service:55:no data update
[2023-12-28 15:33:05,707] INFO:frontend-service:56:query loop complete
[2023-12-28 15:34:05,710] INFO:frontend-service:55:no data update
[2023-12-28 15:34:05,722] INFO:frontend-service:56:query loop complete
[2023-12-28 15:35:05,723] INFO:frontend-service:55:no data update
[2023-12-28 15:35:05,724] INFO:frontend-service:56:query loop complete
[2023-12-28 15:36:05,725] INFO:frontend-service:55:no data update
[2023-12-28 15:36:05,728] INFO:frontend-service:56:query loop complete
[2023-12-28 15:37:05,730] INFO:frontend-service:55:no data update
[2023-12-28 15:37:05,731] INFO:frontend-service:56:query loop complete
[2023-12-28 15:38:05,733] INFO:frontend-service:55:no data update
[2023-12-28 15:38:05,733] INFO:frontend-service:56:query loop complete
[2023-12-28 15:39:05,735] INFO:frontend-service:55:no data update
[2023-12-28 15:39:05,737] INFO:frontend-service:56:query loop complete
[2023-12-28 15:40:05,741] INFO:frontend-service:55:no data update
